id;images;images_content_type;category_type
1;../data/blob/hipster.png;image/png;ROMANCE
2;../data/blob/hipster.png;image/png;LOTERATURE_FICTION
3;../data/blob/hipster.png;image/png;HISTORY
4;../data/blob/hipster.png;image/png;LOTERATURE_FICTION
5;../data/blob/hipster.png;image/png;ARTS_PHOTOGRAPHY
6;../data/blob/hipster.png;image/png;MYSTERY_THRILLER_SUSPENSE
7;../data/blob/hipster.png;image/png;HISTORY
8;../data/blob/hipster.png;image/png;TEEN_YOUNG_ADULT_BOOKS
9;../data/blob/hipster.png;image/png;CHILDREN_BOOKS
10;../data/blob/hipster.png;image/png;LOTERATURE_FICTION
