id;title;description;description_content_type;price;published_date;payment_type;document_format;images_gallery;images_gallery_content_type;tag
1;Alaska;../data/blob/hipster.png;image/png;76855;2019-08-08;PAID;DOCX;../data/blob/hipster.png;image/png;Automotive Tactics architectures
2;Wisconsin Facilitator Incredible;../data/blob/hipster.png;image/png;30569;2019-08-08;PAID;PPT;../data/blob/hipster.png;image/png;Maryland Configuration
3;Intranet Ergonomic Concrete Soap Zambian Kwacha;../data/blob/hipster.png;image/png;35864;2019-08-08;FREE;PDF;../data/blob/hipster.png;image/png;real-time discrete redundant
4;Synergistic Personal Loan Account Sleek;../data/blob/hipster.png;image/png;518;2019-08-08;PAID;DOCX;../data/blob/hipster.png;image/png;Practical North Dakota
5;implementation;../data/blob/hipster.png;image/png;15504;2019-08-08;FREE;XLSX;../data/blob/hipster.png;image/png;Plastic South Georgia and the South Sandwich Islands
6;composite Orchestrator Club;../data/blob/hipster.png;image/png;84202;2019-08-08;PAID;DOC;../data/blob/hipster.png;image/png;Strategist
7;card Licensed Cotton Ball;../data/blob/hipster.png;image/png;43352;2019-08-08;FREE;PDF;../data/blob/hipster.png;image/png;Enterprise-wide Benin
8;Tuna Response invoice;../data/blob/hipster.png;image/png;51669;2019-08-08;FREE;DOCX;../data/blob/hipster.png;image/png;Garden
9;Small;../data/blob/hipster.png;image/png;9415;2019-08-08;PAID;DOCX;../data/blob/hipster.png;image/png;Hollow Shoes systems
10;Generic Frozen Tuna HTTP;../data/blob/hipster.png;image/png;26089;2019-08-08;FREE;DOCX;../data/blob/hipster.png;image/png;Soap Tasty Metal Sausages Outdoors
