id;images;images_content_type;category_type
1;../fake-data/blob/hipster.png;image/png;SCIENCE_FICTION_FANTASY
2;../fake-data/blob/hipster.png;image/png;TEEN_YOUNG_ADULT_BOOKS
3;../fake-data/blob/hipster.png;image/png;SCIENCE_FICTION_FANTASY
4;../fake-data/blob/hipster.png;image/png;TEEN_YOUNG_ADULT_BOOKS
5;../fake-data/blob/hipster.png;image/png;HISTORY
6;../fake-data/blob/hipster.png;image/png;LOTERATURE_FICTION
7;../fake-data/blob/hipster.png;image/png;TEEN_YOUNG_ADULT_BOOKS
8;../fake-data/blob/hipster.png;image/png;ROMANCE
9;../fake-data/blob/hipster.png;image/png;COOKBOOKS_FOOD
10;../fake-data/blob/hipster.png;image/png;CHILDREN_BOOKS
