id;title;description;description_content_type;price;published_date;payment_type;document_format;images_gallery;images_gallery_content_type;tag
1;Alaska;../fake-data/blob/hipster.png;image/png;76855;2019-08-08;FREE;XLSX;../fake-data/blob/hipster.png;image/png;Automotive Tactics architectures
2;Wisconsin Facilitator Incredible;../fake-data/blob/hipster.png;image/png;30569;2019-08-08;PAID;DOCX;../fake-data/blob/hipster.png;image/png;Maryland Configuration
3;Intranet Ergonomic Concrete Soap Zambian Kwacha;../fake-data/blob/hipster.png;image/png;35864;2019-08-08;PAID;DOCX;../fake-data/blob/hipster.png;image/png;real-time discrete redundant
4;Synergistic Personal Loan Account Sleek;../fake-data/blob/hipster.png;image/png;518;2019-08-08;FREE;XLSX;../fake-data/blob/hipster.png;image/png;Practical North Dakota
5;implementation;../fake-data/blob/hipster.png;image/png;15504;2019-08-08;PAID;PDF;../fake-data/blob/hipster.png;image/png;Plastic South Georgia and the South Sandwich Islands
6;composite Orchestrator Club;../fake-data/blob/hipster.png;image/png;84202;2019-08-08;PAID;DOCX;../fake-data/blob/hipster.png;image/png;Strategist
7;card Licensed Cotton Ball;../fake-data/blob/hipster.png;image/png;43352;2019-08-08;PAID;XLSX;../fake-data/blob/hipster.png;image/png;Enterprise-wide Benin
8;Tuna Response invoice;../fake-data/blob/hipster.png;image/png;51669;2019-08-08;PAID;PDF;../fake-data/blob/hipster.png;image/png;Garden
9;Small;../fake-data/blob/hipster.png;image/png;9415;2019-08-08;FREE;DOC;../fake-data/blob/hipster.png;image/png;Hollow Shoes systems
10;Generic Frozen Tuna HTTP;../fake-data/blob/hipster.png;image/png;26089;2019-08-08;PAID;PPT;../fake-data/blob/hipster.png;image/png;Soap Tasty Metal Sausages Outdoors
