id;image;image_content_type;like_numbers;number_of_views;document_format
1;../fake-data/blob/hipster.png;image/png;37454;79654;PPT
2;../fake-data/blob/hipster.png;image/png;44583;15599;DOC
3;../fake-data/blob/hipster.png;image/png;60111;14286;XLSX
4;../fake-data/blob/hipster.png;image/png;77;18182;PDF
5;../fake-data/blob/hipster.png;image/png;43194;2306;PPT
6;../fake-data/blob/hipster.png;image/png;39986;13949;DOCX
7;../fake-data/blob/hipster.png;image/png;36636;23277;DOCX
8;../fake-data/blob/hipster.png;image/png;38246;51423;XLSX
9;../fake-data/blob/hipster.png;image/png;6505;1326;DOCX
10;../fake-data/blob/hipster.png;image/png;1596;9767;PDF
