id;total;image;image_content_type;degree
1;73507;../fake-data/blob/hipster.png;image/png;GENERAL
2;17743;../fake-data/blob/hipster.png;image/png;PROFESSIONAL
3;99050;../fake-data/blob/hipster.png;image/png;PROFESSIONAL
4;34080;../fake-data/blob/hipster.png;image/png;PROFESSIONAL
5;75087;../fake-data/blob/hipster.png;image/png;PROFESSIONAL
6;50525;../fake-data/blob/hipster.png;image/png;GENERAL
7;89552;../fake-data/blob/hipster.png;image/png;GENERAL
8;1083;../fake-data/blob/hipster.png;image/png;GENERAL
9;95006;../fake-data/blob/hipster.png;image/png;GENERAL
10;44844;../fake-data/blob/hipster.png;image/png;PROFESSIONAL
