id;date;time;description
1;2019-08-27;2019-08-26T16:03:17;Saint Lucia white
2;2019-08-26;2019-08-27T04:42:47;neutral Salad
3;2019-08-26;2019-08-26T15:34:34;modular Refined Squares
4;2019-08-27;2019-08-27T02:04:58;Human Ghana
5;2019-08-26;2019-08-27T03:37:49;granular Direct contextually-based
6;2019-08-26;2019-08-26T20:18:36;copying
7;2019-08-26;2019-08-26T23:14:45;Hat
8;2019-08-26;2019-08-26T20:32:34;magenta Concrete
9;2019-08-26;2019-08-27T00:42:05;Gloves sky blue Oklahoma
10;2019-08-26;2019-08-26T21:50:00;Engineer
